district,year,cases_total,cases_imported,cases_indigenous,notes,source_url
Wangdi Phodrang,2017,,,,,
Wangdi Phodrang,2018,,,,,
Wangdi Phodrang,2019,,,,,
Wangdi Phodrang,2020,,,,,
Wangdi Phodrang,2021,,,,,
Wangdi Phodrang,2022,,,,,
Wangdi Phodrang,2023,,,,,
Wangdi Phodrang,2024,,,,,
Daga,2010,,,,,
Daga,2011,,,,,
Daga,2012,,,,,
Daga,2013,,,,,
Daga,2014,,,,,
Daga,2015,,,,,
Daga,2016,,,,,
Daga,2017,,,,,
Daga,2018,,,,,
Daga,2019,,,,,
Daga,2020,,,,,
Daga,2021,,,,,
Daga,2022,,,,,
Daga,2023,,,,,
Daga,2024,,,,,
Punakha,2010,,,,,
Punakha,2011,,,,,
Punakha,2012,,,,,
Punakha,2013,,,,,
Punakha,2014,,,,,
Punakha,2015,,,,,
Punakha,2016,,,,,
Punakha,2017,,,,,
Punakha,2018,,,,,
Punakha,2019,,,,,
Punakha,2020,,,,,
Punakha,2021,,,,,
Punakha,2022,,,,,
Punakha,2023,,,,,
Punakha,2024,,,,,
Mongar,2010,,,,,
Mongar,2011,,,,,
Mongar,2012,,,,,
Mongar,2013,,,,,
Mongar,2014,,,,,
Mongar,2015,,,,,
Mongar,2016,,,,,
Mongar,2017,,,,,
Mongar,2018,,,,,
Mongar,2019,,,,,
Mongar,2020,,,,,
Mongar,2021,,,,,
Mongar,2022,,,,,
Mongar,2023,,,,,
Mongar,2024,,,,,
Tongsa,2010,,,,,
Tongsa,2011,,,,,
Tongsa,2012,,,,,
Tongsa,2013,,,,,
Tongsa,2014,,,,,
Tongsa,2015,,,,,
Tongsa,2016,,,,,
Tongsa,2017,,,,,
Tongsa,2018,,,,,
Tongsa,2019,,,,,
Tongsa,2020,,,,,
Tongsa,2021,,,,,
Tongsa,2022,,,,,
Tongsa,2023,,,,,
Tongsa,2024,,,,,
Pemagatsel,2010,,,,,
Pemagatsel,2011,,,,,
Pemagatsel,2012,,,,,
Pemagatsel,2013,,,,,
Pemagatsel,2014,,,,,
Pemagatsel,2015,,,,,
Pemagatsel,2016,,,,,
Pemagatsel,2017,,,,,
Pemagatsel,2018,,,,,
Pemagatsel,2019,,,,,
Pemagatsel,2020,,,,,
Pemagatsel,2021,,,,,
Pemagatsel,2022,,,,,
Pemagatsel,2023,,,,,
Pemagatsel,2024,,,,,
